	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015
Montenegro	120.1	104.22	71.88	49.57	33.05	28.5	25.8	21.5	17.92	11.57	11.57	10.89	4.41
Morocco	151.25	143.08	132.95	122.68	113.14	102.0	83.85	66.58	53.01	44.05	37.94	31.78	26.3
Mozambique	220.37	201.6	184.98	172.23	158.55	147.98	151.87	146.14	135.42	111.43	89.28	73.8	64.42
Myanmar	213.87	175.82	156.25	124.12	111.72	100.6	90.51	81.29	72.8	65.24	57.9	52.25	46.47
Namibia	171.96	149.2	130.58	115.12	100.75	87.47	76.44	67.11	60.44	57.63	57.17	43.2	33.53
Nepal	228.63	224.08	211.09	189.5	169.22	150.53	130.54	109.56	87.64	68.44	52.87	41.29	32.36
Netherlands	23.0	18.26	15.65	13.26	10.97	9.25	8.29	7.34	6.17	5.28	4.86	4.11	3.46
New Zealand	26.82	24.12	21.0	18.11	16.09	13.95	12.01	10.72	7.54	6.24	5.49	5.01	4.31
Nicaragua	172.41	150.77	131.39	113.83	97.92	90.19	79.83	65.02	48.02	33.59	26.45	24.02	19.96
Niger	161.92	160.23	158.5	155.63	150.73	138.75	132.83	139.0	129.73	102.93	81.84	63.73	59.84
Nigeria	200.68	186.61	172.91	159.63	147.3	134.23	125.33	126.02	125.99	118.61	104.03	89.93	76.31
North Korea	122.82	83.1	79.69	58.15	45.28	36.32	31.12	27.39	42.11	57.81	28.49	27.29	21.99
Norway	22.3	18.9	16.82	13.92	11.31	9.03	7.47	8.47	5.91	4.01	3.52	3.03	2.5
Oman	211.0	180.45	153.8	130.7	108.96	82.64	59.44	42.12	30.87	21.71	14.64	9.77	7.31
Pakistan	255.92	205.99	171.45	148.57	134.62	125.7	118.55	110.38	101.72	92.64	84.01	76.89	69.84
Palestinian territories	140.29	131.1	117.06	99.42	82.71	66.23	51.4	40.12	33.08	27.86	25.01	23.07	20.63
Panama	85.74	73.72	61.91	51.87	43.12	36.13	34.12	29.82	26.29	23.31	19.85	16.84	15.16
Papua New Guinea	158.08	145.66	132.66	113.81	99.28	87.29	74.47	72.97	66.75	61.72	56.19	50.07	47.58
Paraguay	73.44	69.73	62.28	58.56	53.1	51.04	48.9	46.71	42.94	39.21	35.55	32.04	28.79
Peru	158.7	148.28	136.14	126.33	110.32	99.09	81.66	68.04	55.47	40.64	27.4	21.0	18.63
Philippines	96.77	86.55	77.38	67.8	59.27	62.36	54.52	39.55	36.05	32.29	28.91	25.88	23.17
Poland	78.93	59.2	49.54	36.08	27.83	23.18	19.77	16.96	16.35	10.11	7.21	6.08	4.58
Portugal	92.86	88.61	78.88	61.21	47.16	31.48	20.34	14.49	9.54	6.49	4.75	3.38	3.29
Puerto Rico	63.42	51.43	44.8	33.29	25.31	19.72	17.2	13.81	11.61	10.94	8.01	7.01	6.25
Qatar	106.02	87.16	68.74	50.76	36.65	29.15	23.17	18.41	14.72	11.78	9.41	7.51	6.45
Republic of Macedonia	136.32	112.57	94.81	82.04	68.72	62.26	51.54	40.04	26.55	18.44	12.95	11.89	10.14
Romania	90.94	80.43	53.98	51.03	39.28	30.86	25.68	25.55	22.99	20.28	16.95	11.97	9.64
Russia	100.51	59.43	39.68	31.25	26.41	28.8	25.93	23.65	21.95	20.97	16.17	10.68	8.25
Rwanda	160.54	151.8	143.23	137.18	135.17	128.27	108.78	113.65	288.71	116.33	89.88	58.83	49.21
Samoa	107.43	97.1	87.2	77.72	68.62	59.92	51.63	43.77	36.1	29.94	25.68	22.41	19.67
Sao Tome and Principe	124.52	112.38	99.0	88.13	76.06	64.93	63.63	60.54	57.53	54.64	51.86	46.05	43.51
Saudi Arabia	201.93	180.95	160.62	137.49	105.28	76.95	56.2	41.15	30.4	23.15	18.81	16.23	15.34
Senegal	127.8	122.96	117.58	112.89	108.11	97.39	84.98	75.29	71.61	68.27	61.15	54.13	44.34
Serbia	117.61	103.36	88.0	68.62	50.83	40.19	34.79	22.37	17.16	16.11	14.14	12.45	9.77
Sierra Leone	236.9	229.39	221.47	210.63	181.11	162.11	151.34	151.59	160.58	148.92	134.93	116.97	94.43
Singapore	60.99	43.2	28.62	23.79	19.35	12.85	8.76	5.48	4.64	4.08	2.5	2.16	1.77
Slovakia	73.9	36.74	26.55	25.3	24.62	22.19	17.94	13.88	11.59	9.03	7.27	6.25	4.91
Slovenia	22.77	18.7	16.59	16.57	15.53	13.73	13.37	10.24	7.34	4.91	4.03	2.89	2.87
Solomon Islands	146.15	131.62	117.53	104.1	91.33	79.13	75.71	89.84	77.89	65.13	51.37	42.86	38.04
Somalia	200.17	186.23	173.24	160.69	147.53	136.83	127.82	123.28	129.6	105.17	97.02	89.78	79.47
South Africa	110.47	98.54	91.0	83.61	77.17	70.63	60.72	52.11	48.28	53.35	57.16	51.91	38.32
South Korea	138.12	114.47	89.74	64.21	38.11	33.23	24.61	14.86	9.75	6.61	5.32	4.6	2.91
South Sudan	248.59	226.18	209.57	193.95	181.32	169.05	163.86	149.89	129.95	113.91	101.41	89.11	77.67
Spain	64.86	51.03	41.25	32.05	22.37	15.21	10.35	8.03	6.51	4.8	3.91	3.64	3.0
Sri Lanka	89.05	73.73	61.51	52.96	44.43	35.79	29.22	24.25	19.99	16.21	13.08	10.05	8.23
Sudan	134.73	121.59	111.31	102.17	93.35	89.09	87.02	84.12	79.95	73.83	66.83	59.66	53.32
Suriname	77.54	67.59	56.2	48.87	44.27	40.12	41.49	40.24	34.65	28.69	24.17	22.16	17.37
Swaziland	174.03	160.55	150.6	140.72	124.19	107.87	90.47	77.36	69.3	80.2	86.66	75.89	64.64
Sweden	19.71	16.97	15.63	12.53	10.53	7.92	6.78	6.17	5.34	3.64	3.33	2.49	2.8
Switzerland	29.03	23.54	20.91	16.83	13.68	9.7	7.8	7.03	6.07	4.77	4.56	4.21	3.68
Syria	141.29	123.71	107.76	90.3	71.07	55.37	42.93	33.48	26.29	21.27	17.77	14.94	17.87
Tajikistan	160.17	151.29	142.42	133.55	124.67	115.8	106.94	98.04	88.19	79.65	63.06	45.14	39.88
Tanzania	153.38	143.25	136.24	128.16	118.72	108.58	104.58	102.22	103.09	92.24	69.56	52.36	36.96
Thailand	127.53	108.91	92.61	77.63	62.84	50.95	41.62	33.41	26.11	20.9	16.7	13.4	11.25
Togo	186.36	164.28	145.04	128.11	112.92	100.71	92.31	87.19	83.46	80.25	77.37	64.33	50.18
Tonga	58.93	52.96	47.22	42.02	37.29	33.88	30.59	27.79	26.38	24.96	23.48	22.03	20.44
Trinidad and Tobago	82.59	66.55	50.72	48.43	43.44	37.62	31.74	29.09	28.18	28.8	28.94	26.57	24.76
Tunisia	232.38	218.03	195.46	173.31	139.95	97.28	65.84	48.79	35.19	28.64	23.0	18.7	18.7
Turkey	217.77	201.77	179.03	160.01	145.42	120.41	94.72	73.21	56.19	37.02	24.72	16.39	12.61
Turkmenistan	150.17	140.29	130.42	120.54	110.68	100.77	90.9	81.03	75.51	61.27	51.75	50.49	46.7
Uganda	160.59	145.42	130.27	116.55	112.3	111.5	112.68	115.54	109.89	98.4	80.74	69.51	61.2
Ukraine	78.78	46.47	31.0	23.46	21.0	22.94	19.97	17.76	17.07	16.64	14.81	12.64	9.16
United Arab Emirates	181.08	143.4	110.53	78.9	56.99	41.11	29.56	21.68	16.47	12.38	9.22	6.88	6.23
United Kingdom	28.68	24.26	22.18	19.02	17.3	14.13	10.84	9.12	6.88	5.9	5.34	4.9	4.19
United States	30.48	27.33	25.39	22.68	18.4	14.34	11.6	10.37	8.81	7.47	6.99	6.87	5.97
Uruguay	57.42	53.04	47.91	47.12	46.34	42.46	33.5	22.57	20.07	15.59	14.36	13.44	12.67
Uzbekistan	125.15	114.95	104.72	94.51	84.32	77.89	71.46	65.03	59.45	54.77	49.91	47.13	44.02
Venezuela	108.04	91.06	74.26	61.05	49.24	40.7	33.36	27.77	23.35	21.08	18.14	15.9	13.78
Vietnam	103.62	81.47	66.72	56.82	54.23	45.62	41.16	37.13	33.76	29.02	25.28	22.18	19.32
Western Sahara	217.09	201.68	187.37	173.64	160.1	133.93	110.07	87.97	75.92	64.46	52.97	44.08	37.24
Yemen	251.32	251.32	251.32	212.89	180.06	147.32	116.97	95.36	84.0	75.36	67.96	61.31	53.55
Zambia	148.41	137.04	126.68	117.97	107.21	101.06	103.42	111.79	114.96	106.38	86.2	69.53	55.36
Zimbabwe	114.59	105.19	96.71	89.58	82.75	74.27	62.75	57.11	58.88	67.24	69.29	61.79	48.42
